date,close
2024-01-02,341.97
2024-01-03,341.55
2024-01-04,344.09
2024-01-05,350.01
2024-01-08,349.22
2024-01-09,348.42
2024-01-10,354.63
2024-01-11,357.75
2024-01-12,356.01
2024-01-15,358.25
2024-01-16,356.54
2024-01-17,354.82
2024-01-18,355.87
2024-01-19,348.57
2024-01-22,342.12
2024-01-23,340.11
2024-01-24,336.44
2024-01-25,337.71
2024-01-26,334.45
2024-01-29,329.4
2024-01-30,334.85
2024-01-31,334.12
2024-02-01,334.47
2024-02-02,329.37
2024-02-05,327.5
2024-02-06,328.0
2024-02-07,323.97
2024-02-08,325.41
2024-02-09,323.36
2024-02-12,322.42
2024-02-13,320.39
2024-02-14,327.08
2024-02-15,327.13
2024-02-16,323.45
2024-02-19,326.48
2024-02-20,322.22
2024-02-21,323.06
2024-02-22,316.27
2024-02-23,311.77
2024-02-26,312.54
2024-02-27,315.19
2024-02-28,315.88
2024-02-29,315.57
2024-03-01,314.62
2024-03-04,309.64
2024-03-05,307.29
2024-03-06,305.83
2024-03-07,309.5
2024-03-08,310.76
2024-03-11,304.89
2024-03-12,306.07
2024-03-13,304.86
2024-03-14,302.69
2024-03-15,304.83
2024-03-18,308.4
2024-03-19,311.67
2024-03-20,308.89
2024-03-21,307.94
2024-03-22,309.15
2024-03-25,312.58
2024-03-26,311.03
2024-03-27,310.49
2024-03-28,306.83
2024-03-29,302.91
2024-04-01,305.72
2024-04-02,310.41
2024-04-03,310.26
2024-04-04,313.79
2024-04-05,315.14
2024-04-08,313.0
2024-04-09,314.35
2024-04-10,319.8
2024-04-11,319.77
2024-04-12,325.42
2024-04-15,316.27
2024-04-16,319.24
2024-04-17,319.64
2024-04-18,318.69
2024-04-19,319.11
2024-04-22,312.3
2024-04-23,311.64
2024-04-24,312.96
2024-04-25,318.19
2024-04-26,316.47
2024-04-29,313.76
2024-04-30,312.13
2024-05-01,315.38
2024-05-02,316.62
2024-05-03,314.88
2024-05-06,316.75
2024-05-07,317.19
2024-05-08,320.68
2024-05-09,318.31
2024-05-10,317.26
2024-05-13,315.99
2024-05-14,311.04
2024-05-15,312.14
2024-05-16,313.14
2024-05-17,313.25
2024-05-20,312.53
2024-05-21,308.17
2024-05-22,307.21
2024-05-23,306.51
2024-05-24,304.27
2024-05-27,304.19
